event,count,pct_rows,category,description,intuition,leakage_risk,modeling_recommendation,importance_score,importance_rank
block_create,13867,0.3951,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,83,36
ai_credit_banner_shown,2140,0.061,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",83,37
notebook_deployment_usage_tracked,189498,5.3994,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,82,38
work_email_bonus_credits_received,398,0.0113,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",82,39
referral_bonus_credits_received,282,0.008,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",82,40
referral_credits_awarded,274,0.0078,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",82,41
ai_credit_banner_clicked,123,0.0035,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",82,42
agent_add_on_credits_popup_opened,62,0.0018,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",82,43
commercial_credits_received,41,0.0012,Credit usage / limits,"Credit consumption, credit balance threshold, exceeded-credit, or credit-award event.","Can indicate heavy usage or friction from running out of credits. Strong candidate for upgrade propensity, but needs careful time-windowing.",Unknown/low; validate event timing and meaning before modeling.,"Use with strict pre-upgrade windows. Consider counts, first occurrence, and threshold flags.",82,44
run_all_blocks,7655,0.2181,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,81,45
files_upload,4357,0.1241,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,81,46
canvas_create,3354,0.0956,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,81,47
cancel_subscription,13,0.0004,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,81,48
agent_cancel_plan_button_clicked,3,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,81,49
subscription_cancelled,2,0.0001,Commercial / upgrade intent,"Commercial, billing, plan, offer, or upgrade-flow event indicating pricing intent or subscription movement.","Often directly related to conversion. Great for funnel analysis, but risky for predictive modeling unless the business question explicitly allows near-checkout intent signals.","High leakage risk: may reveal upgrade funnel, payment intent, subscription state, or downstream commercial action.",Use for funnel diagnostics. Exclude from baseline predictive model or isolate in a separate late-intent model.,81,50
$ai_generation,549818,15.666,AI / agent behavior,"AI generation event with model, provider, token, and latency metadata.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,80,51
source_control_commit,309,0.0088,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,80,52
source_control_connect_to_canvas,195,0.0056,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,80,53
source_control_pull,146,0.0042,Creation / workspace behavior,"User creates, edits, runs, imports, connects, or manages workspace content such as canvases, blocks, files, folders, layers, or source control.",Shows users building real artifacts. Usually one of the best non-leaky predictors of eventual upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,80,54
agent_tool_call_get_block_tool,92596,2.6383,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,55
agent_tool_call_create_block_tool,66758,1.9021,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,56
agent_tool_call_get_variable_preview_tool,44560,1.2697,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,57
agent_tool_call_run_block_tool,39245,1.1182,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,58
agent_tool_call_refactor_block_tool,38706,1.1029,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,59
agent_tool_call_finish_ticket_tool,32720,0.9323,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,60
agent_tool_call_get_canvas_summary_tool,19483,0.5551,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,61
agent_message,15104,0.4304,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,62
notebook_deployment_created,1582,0.0451,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,79,63
notebook_deployment_preview_created,999,0.0285,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,64
notebook_deployment_updated,767,0.0219,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,65
notebook_deployment_automatic_preview_started,714,0.0203,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,66
notebook_deployment_preview_updated,536,0.0153,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,67
scheduled_job_start,325,0.0093,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,68
scheduled_job_stop,320,0.0091,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,69
notebook_deployment_reset,190,0.0054,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,70
hosted_apps_open,59,0.0017,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,71
app_publish,30,0.0009,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,72
app_create,29,0.0008,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,78,73
agent_tool_call_update_script_content_tool,6132,0.1747,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,74
agent_tool_call_analyze_attachment_tool,5803,0.1653,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,75
agent_tool_call_list_environment_packages_tool,4692,0.1337,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,76
agent_tool_call_get_script_tool,2087,0.0595,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,77
agent_tool_call_get_scripts_tool,1682,0.0479,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,78
agent_tool_call_create_edges_tool,1443,0.0411,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,77,79
